,종목코드
924,074130
925,025270
926,034750
927,065270
928,160350
929,088700
930,222520
931,011720
932,117930
933,045050
934,025930
935,068150
936,078780
937,017170
938,007190
939,074150
940,092630
941,053810
942,114130
943,114140
944,000830
945,082390
946,063840
947,081940
948,108890
949,015110
950,042950
951,002860
952,071930
953,039850
954,179280
955,016420
956,002530
957,081210
958,025850
959,273060
960,099660
961,197210
962,214390
963,194610
964,068760
965,103840
966,002620
967,263050
968,050110
969,044340
970,212310
971,079940
972,001060
973,307930
974,290120
975,071280
976,060850
977,256840
978,001340
979,294630
980,039790
981,016570
982,003200
983,202960
984,016090
985,335870
986,302920
987,199870
988,235980
989,012650
990,329560
991,140290
992,033160
993,100590
994,034950
995,027970
996,015860
997,026970
998,128540
999,037950
1000,068930
1001,024720
1002,059210
1003,124560
1004,003080
1005,008120
1006,155960
1007,036010
1008,037640
1009,246960
1010,014710
1011,005670
1012,064480
1013,271780
1014,066130
1015,017960
1016,053030
1017,015590
1018,002700
1019,147830
1020,299900
1021,348840
1022,234070
1023,217910
1024,089600
1025,035890
1026,347000
1027,290650
1028,005820
1029,005360
1030,148150
1031,007390
1032,234920
1033,013360
1034,323940
1035,001490
1036,066900
1037,226400
1038,230360
1039,033130
1040,116100
1041,241690
1042,252500
1043,003120
1044,058430
1045,003650
1046,328380
1047,002410
1048,043340
1049,206560
1050,241840
1051,225530
1052,066270
1053,003190
1054,102710
1055,189300
1056,240810
1057,005750
1058,090120
1059,049950
1060,084650
1061,079560
1062,091810
1063,049960
1064,012580
1065,111110
1066,082210
1067,206650
1068,011700
1069,217330
1070,183350
1071,114920
1072,018120
1073,121060
1074,151750
1075,331660
1076,260660
1077,357550
1078,092300
1079,302430
1080,089790
1081,201490
1082,253450
1083,361390
1084,236200
1085,245030
1086,101530
1087,299670
1088,126340
1089,085810
1090,002870
1091,366330
1092,138610
1093,068790
1094,149950
1095,008040
1096,271980
1097,347700
1098,093370
1099,244920
1100,258540
1101,153490
1102,073190
1103,023910
1104,012760
1105,329020
1106,009160
1107,002100
1108,008350
1109,005680
1110,002360
1111,009180
1112,211270
1113,019560
1114,336570
1115,087010
1116,372290
1117,101330
1118,085670
1119,187870
1120,203650
1121,217620
1122,255440
1123,225650
1124,263770
1125,080010
1126,179900
1127,001800
1128,065770
1129,054090
1130,012510
1131,056190
1132,203450
1133,036260
1134,288620
1135,005900
1136,357780
1137,320000
1138,086390
1139,187420
1140,013890
1141,247660
1142,067010
1143,063760
1144,032560
1145,006920
1146,003560
1147,012200
1148,001260
1149,014160
1150,204270
1151,039290
1152,013120
1153,138290
1154,212560
1155,103660
1156,003780
1157,016590
1158,075130
1159,069140
1160,071670
1161,008700
1162,060240
1163,115390
1164,041520
1165,290670
1166,053690
1167,028100
1168,164060
1169,166480
1170,002780
1171,002020
1172,190510
1173,339770
1174,042370
1175,208890
1176,249420
1177,068420
1178,002250
1179,009460
1180,001310
1181,009900
1182,002150
1183,091120
1184,258050
1185,299660
1186,258790
1187,109080
1188,086460
1189,105550
1190,179720
1191,000520
1192,242350
1193,010400
1194,005430
1195,053320
1196,312610
1197,225590
1198,226440
1199,138580
1200,006110
1201,024060
1202,226320
1203,368770
1204,004440
1205,012250
1206,180060
1207,294140
1208,278990
1209,094860
1210,294570
1211,237750
1212,238500
1213,100120
1214,070960
1215,001720
1216,049770
1217,017900
1218,191600
1219,269620
1220,323210
1221,349720
1222,234340
1223,017550
1224,001560
1225,089140
1226,282880
1227,059270
1228,000500
1229,356890
1230,334970
1231,092130
1232,222110
1233,092220
1234,225850
1235,109610
1236,199290
1237,104200
1238,095720
1239,009520
1240,317240
1241,267320
1242,319400
1243,009070
1244,335810
1245,321820
1246,023890
1247,192650
1248,002690
1249,008730
1250,005190
1251,038500
1252,015230
1253,014190
1254,183410
1255,013580
1256,347740
1257,016790
1258,301300
1259,253840
1260,215790
1261,110660
1262,047770
1263,033630
1264,041440
1265,004840
1266,214610
1267,373340
1268,347860
1269,352770
1270,030720
1271,327260
1272,002990
1273,229640
1274,329050
1275,135160
1276,100250
1277,009470
1278,356860
1279,021880
1280,234690
1281,217320
1282,010090
1283,367360
1284,001250
1285,060480
1286,037440
1287,002800
1288,011090
1289,073710
1290,000050
1291,025750
1292,079000
1293,343090
1294,065170
1295,217730
1296,270520
1297,256630
1298,019180
1299,192080
1300,239610
1301,115310
1302,336260
1303,219420
1304,006200
1305,053580
1306,199820
1307,208340
1308,023450
1309,234300
1310,093510
1311,092730
1312,065440
1313,294090
1314,264850
1315,049070
1316,054410
1317,321550
1318,091580
1319,016580
1320,011330
1321,270020
1322,017040
1323,217600
1324,228760
1325,008020
1326,002390
1327,007540
1328,285490
1329,332290
1330,002840
1331,009770
1332,119610
1333,278280
1334,248170
1335,033220
1336,226330
1337,017650
1338,002670
1339,205470
1340,005110
1341,330350
1342,025530
1343,262840
1344,165270
1345,015200
1346,065690
1347,048260
1348,306040
1349,268280
1350,107640
1351,032290
1352,150440
1353,317870
1354,214260
1355,111770
1356,263020
1357,281740
1358,003220
1359,065950
1360,050960
1361,060150
1362,105330
1363,065510
1364,218150
1365,005010
1366,290690
1367,007980
1368,096870
1369,074430
1370,089150
1371,012800
1372,049130
1373,092590
1374,298380
1375,046390
1376,141000
1377,097800
1378,001520
1379,073560
1380,322310
1381,003520
1382,284740
1383,348030
1384,009760
1385,005440
1386,070480
1387,311840
1388,023410
1389,279600
1390,064550
1391,033500
1392,238490
1393,270870
1394,236030
1395,153360
1396,005350
1397,271560
1398,185490
1399,014970
1400,024740
1401,336060
1402,367460
1403,158430
1404,171090
1405,264450
1406,088130
1407,197140
1408,065660
1409,217480
1410,123700
1411,094820
1412,353490
1413,117730
1414,014530
1415,052270
1416,182690
1417,267850
1418,359090
1419,004310
1420,195940
1421,114810
1422,282690
1423,009300
1424,251630
1425,008470
1426,192820
1427,000800
1428,170900
1429,096640
1430,012610
1431,002420
1432,090850
1433,004100
1434,137400
1435,005320
1436,112240
1437,059100
1438,014130
1439,251280
1440,043710
1441,023760
1442,040420
1443,020400
1444,052670
1445,101140
1446,054930
1447,060280
1448,044490
1449,071950
1450,115160
1451,315640
1452,227840
1453,001510
1454,090080
1455,308170
1456,382480
1457,007070
1458,151860
1459,053210
1460,064260
1461,091970
1462,008870
1463,268600
1464,377300
1465,008970
1466,395400
1467,083310
1468,082270
1469,032750
1470,190650
1471,056000
1472,021820
1473,011810
1474,066670
1475,004380
1476,096630
1477,215600
1478,033320
1479,043100
1480,002760
1481,182360
1482,078890
1483,028080
1484,010820
1485,036560
1486,063170
1487,064800
1488,008600
1489,173130
1490,060380
1491,168330
1492,220630
1493,064290
1494,004360
1495,025620
1496,159580
1497,322180
1498,003540
1499,038710
1500,033170
1501,023790
1502,214150
1503,020150
1504,010780
1505,222810
1506,302550
1507,049430
1508,000360
1509,072470
1510,078520
1511,003570
1512,131290
1513,080720
1514,067280
1515,207760
1516,232680
1517,195990
1518,092460
1519,002460
1520,032860
1521,053700
1522,006980
1523,001380
1524,019440
1525,058450
1526,367340
1527,136510
1528,005810
1529,175330
1530,335890
1531,228180
1532,072020
1533,111710
1534,084990
1535,310840
1536,143540
1537,303360
1538,200230
1539,085310
1540,007280
1541,377190
1542,003010
1543,026960
1544,031440
1545,103130
1546,136490
1547,100790
1548,005500
1549,257370
1550,084180
1551,012700
1552,277070
1553,001750
1554,000760
1555,060720
1556,000250
1557,099750
1558,031860
1559,016380
1560,052220
1561,373220
1562,071460
1563,039830
1564,054050
1565,001550
1566,001810
1567,053610
1568,214370
1569,010140
1570,078340
1571,139050
1572,225570
1573,033530
1574,318660
1575,123690
1576,094170
1577,052400
1578,031920
1579,002310
1580,023530
1581,069510
1582,090470
1583,099430
1584,208140
1585,078940
1586,002820
1587,120240
1588,148780
1589,238170
1590,032680
1591,054540
1592,010640
1593,200130
1594,115570
1595,001680
1596,005180
1597,072520
1598,079810
1599,006650
1600,060230
1601,089980
1602,060560
1603,161890
1604,068060
1605,220260
1606,260970
1607,043260
1608,048430
1609,038620
1610,053660
1611,049630
1612,009290
1613,105840
1614,013990
1615,200780
1616,094280
1617,071970
1618,015750
1619,065150
1620,053260
1621,076340
1622,160550
1623,123840
1624,228340
1625,019210
1626,024830
1627,214420
1628,096760
1629,000140
1630,068270
1631,288490
1632,100700
1633,035150
1634,007120
1635,005880
1636,039740
1637,153710
1638,046110
1639,246690
1640,034230
1641,015020
1642,054340
1643,144620
1644,011560
1645,041020
1646,001880
1647,261200
1648,258610
1649,396690
1650,228670
1651,206950
1652,037340
1653,033310
1654,393210
1655,017890
1656,035460
1657,034810
1658,013030
1659,041960
1660,039230
1661,050540
1662,067390
1663,100840
1664,104830
1665,111820
1666,040610
1667,095910
1668,220180
1669,064090
1670,048530
1671,024800
1672,314130
1673,008370
1674,322190
1675,322780
1676,382800
1677,221610
1678,402340
1679,018670
1680,006120
1681,187220
1682,051600
1683,160600
1684,128820
1685,189350
1686,049080
1687,143160
1688,215360
1689,011170
1690,079430
1691,066360
1692,017810
1693,052300
1694,082660
1695,023150
1696,003720
1697,265740
1698,216080
1699,051370
1700,051360
1701,007810
1702,005980
1703,004920
1704,011160
1705,083420
1706,238090
1707,225220
1708,275630
1709,045060
1710,131390
1711,001780
1712,191410
1713,276730
1714,224060
1715,101730
1716,225330
1717,039310
1718,131970
1719,220100
1720,150900
1721,027050
1722,086450
1723,134790
1724,000370
1725,094480
1726,078860
1727,084010
1728,102460
1729,058630
1730,086820
1731,030210
1732,003030
1733,241820
1734,281310
1735,030000
1736,323280
1737,265560
1738,338220
1739,019570
1740,101000
1741,134780
1742,009970
1743,041910
1744,101930
1745,173940
1746,001140
1747,024120
1748,002960
1749,049520
1750,039420
1751,138040
1752,004780
1753,227950
1754,005390
1755,065350
1756,036810
1757,340360
1758,066790
1759,069260
1760,033830
1761,048470
1762,007210
1763,002210
1764,184230
1765,040300
1766,035080
1767,056700
1768,005710
1769,078160
1770,000070
1771,019490
1772,010600
1773,000490
1774,106240
1775,036540
1776,122640
1777,079370
1778,002290
1779,042420
1780,088290
1781,094970
1782,290090
1783,012280
1784,110020
1785,118000
1786,000670
1787,000210
1788,033660
1789,018880
1790,377030
1791,005270
1792,028670
1793,032190
1794,000480
1795,057500
1796,048410
1797,105630
1798,044450
1799,008490
1800,163430
1801,016450
1802,032640
1803,170030
1804,032940
1805,024950
1806,001590
1807,018700
1808,046310
1809,178600
1810,169330
1811,069460
1812,024940
1813,001200
1814,192390
1815,208640
1816,221800
1817,033550
1818,083500
1819,012160
1820,032080
1821,038460
1822,072870
1823,351340
1824,115480
1825,040910
1826,019540
1827,189860
1828,010120
1829,016830
1830,003410
1831,060300
1832,224020
1833,286940
1834,314930
1835,270660
1836,007660
1837,060260
1838,187270
1839,078150
1840,003280
1841,006090
1842,214680
1843,046890
1844,123040
1845,032500
1846,208350
1847,005160
1848,056730
1849,017480
1850,037710
1851,004720
1852,005800
1853,095270
1854,013310
1855,117580
1856,061970
1857,016710
1858,025950
1859,079960
1860,065500
1861,086040
1862,072710
1863,379390
1864,053160
1865,037330
1866,050120
1867,047810
1868,041510
1869,009620
1870,087600
1871,035810
1872,112610
1873,027710
1874,336370
1875,004510
1876,093050
1877,012450
1878,092070
1879,021650
1880,089470
1881,154040
1882,391060
1883,376980
1884,093380
1885,213500
1886,216050
1887,011230
1888,014910
1889,038010
1890,073010
1891,299910
1892,026940
1893,069540
1894,053270
1895,073490
1896,083790
1897,072950
1898,007770
1899,192250
1900,138250
1901,092190
1902,293780
1903,319660
1904,174900
1905,093190
1906,077500
1907,108320
1908,114630
1909,053740
1910,023960
1911,021320
1912,014680
1913,311270
1914,363260
1915,251370
1916,006580
1917,002070
1918,105560
1919,171120
1920,000970
1921,014570
1922,031980
1923,039030
1924,049120
1925,310870
1926,222080
1927,041190
1928,079950
1929,000240
1930,005940
1931,329180
1932,109820
1933,237690
1934,348950
1935,189330
1936,099390
1937,048550
1938,311320
1939,372800
1940,181340
1941,194510
1942,013870
1943,322000
1944,070080
1945,149010
1946,032850
1947,010060
1948,134060
1949,041930
1950,000300
1951,136540
1952,052600
1953,130660
1954,069330
1955,058650
1956,097780
1957,317850
1958,138490
1959,234080
1960,003850
1961,161000
1962,067250
1963,009440
1964,263920
1965,403360
1966,052260
1967,035600
1968,351320
1969,006800
1970,353810
1971,140610
1972,011400
1973,036000
1974,025550
1975,041830
1976,260930
1977,010620
1978,298870
1979,007630
1980,011210
1981,003830
1982,001460
1983,012600
1984,001820
1985,024840
1986,062970
1987,053800
1988,123410
1989,008260
1990,161580
1991,128660
1992,126560
1993,001530
1994,078070
1995,012340
1996,404990
1997,119650
1998,051780
1999,021240
2000,199800
2001,080000
2002,005930
2003,008060
2004,123750
2005,088390
2006,051810
2007,204630
2008,081660
2009,001120
2010,060590
2011,402420
2012,053300
2013,000850
2014,008110
2015,178920
2016,032280
2017,035610
2018,054950
2019,131090
2020,110790
2021,006280
2022,005250
2023,006390
2024,039870
2025,361610
2026,000890
2027,255220
2028,267270
2029,020000
2030,000910
2031,192410
2032,043910
2033,122990
2034,196490
2035,036090
2036,353200
2037,365270
2038,024070
2039,102260
2040,033100
2041,046440
2042,038870
2043,043590
2044,032800
2045,086710
2046,012790
2047,361670
2048,078350
2049,032980
2050,261780
2051,000180
2052,032620
2053,005030
2054,145020
2055,057030
2056,058530
2057,055490
2058,126600
2059,317830
2060,084850
2061,200470
2062,183490
2063,241710
2064,241790
2065,238120
2066,323230
2067,307280
2068,051980
2069,049800
2070,037230
2071,004940
2072,086890
2073,000150
2074,375500
2075,047040
2076,002550
2077,009830
2078,245450
2079,322510
2080,377400
2081,011390
2082,009310
2083,038160
2084,041140
2085,001360
2086,065160
2087,012320
2088,099440
2089,036190
2090,043200
2091,217190
2092,027830
2093,189690
2094,001020
2095,025880
2096,277410
2097,050090
2098,013520
2099,074610
2100,095700
2101,104460
2102,244460
2103,230980
2104,054040
2105,214330
2106,025820
2107,002170
2108,119500
2109,023000
2110,003470
2111,192440
2112,006400
2113,034020
2114,267260
2115,004170
2116,194700
2117,114090
2118,098120
2119,043220
2120,180640
2121,064520
2122,138080
2123,057880
2124,036620
2125,036570
2126,063160
2127,004650
2128,006730
2129,048910
2130,051390
2131,098460
2132,083660
2133,028040
2134,155660
2135,002030
2136,032350
2137,037460
2138,075580
2139,052020
2140,009680
2141,044480
2142,038530
2143,344820
2144,014830
2145,079190
2146,140520
2147,033560
2148,019010
2149,011780
2150,215200
2151,008270
2152,227100
2153,400760
2154,018620
2155,002920
2156,058400
2157,145990
2158,049830
2159,377480
2160,170920
2161,137940
2162,387310
2163,042670
2164,032710
2165,027740
2166,200580
2167,078590
2168,039670
2169,404950
2170,054180
2171,060310
2172,142280
2173,195500
2174,186230
2175,233990
2176,298060
2177,040350
2178,028260
2179,002200
2180,005720
2181,234100
2182,010770
2183,084730
2184,034120
2185,067170
2186,031820
2187,127160
2188,089030
2189,009150
2190,004970
2191,090150
2192,236340
2193,014580
2194,095190
2195,001840
2196,006740
2197,001770
2198,004770
2199,024900
2200,027040
2201,093640
2202,001040
2203,034300
2204,122900
2205,006050
2206,088790
2207,113810
2208,040160
2209,099410
2210,080520
2211,208370
2212,030190
2213,138070
2214,023440
2215,088350
2216,045510
2217,004960
2218,000430
2219,104620
2220,365550
2221,103230
2222,214870
2223,131370
2224,032830
2225,023600
2226,121850
2227,064960
2228,050760
2229,104040
2230,217880
2231,010660
2232,121600
2233,054920
2234,101390
2235,067310
2236,114840
2237,185750
2238,009450
2239,258830
2240,039570
2241,214310
2242,263720
2243,043150
2244,012860
2245,039860
2246,078130
2247,039980
2248,067000
2249,089010
2250,172580
2251,038880
2252,058820
2253,131220
2254,160980
2255,086960
2256,136480
2257,284620
2258,224110
2259,096770
2260,000810
2261,077970
2262,010950
2263,068330
2264,052790
2265,043360
2266,071090
2267,200880
2268,007110
2269,000950
2270,072990
2271,033290
2272,089970
2273,369370
2274,000100
2275,096300
2276,009730
2277,090350
2278,083470
2279,000320
2280,046940
2281,003350
2282,099520
2283,211050
2284,049480
2285,032540
2286,004250
2287,011370
2288,205100
2289,054800
2290,014470
2291,036670
2292,006890
2293,015890
2294,333620
2295,003450
2296,034730
2297,023590
2298,087730
2299,005300
2300,026870
2301,024090
2302,081000
2303,090740
2304,217270
2305,003230
2306,397880
2307,045890
2308,162120
2309,200670
2310,340440
2311,058110
2312,003580
2313,011420
2314,086900
2315,059120
2316,161390
2317,005280
2318,138930
2319,078020
2320,001450
2321,175140
2322,016880
2323,100090
2324,039490
2325,001890
2326,004690
2327,210120
2328,239340
2329,400840
2330,182400
2331,187790
2332,217500
2333,016250
2334,005450
2335,340930
2336,010100
2337,000650
2338,007160
2339,067920
2340,055550
2341,051490
2342,036930
2343,065060
2344,029480
2345,130500
2346,082850
2347,037400
2348,031330
2349,006380
2350,033180
2351,052330
2352,141080
2353,008290
2354,076610
2355,001970
2356,291230
2357,065710
2358,245620
2359,388220
2360,066970
2361,382840
2362,272210
2363,058220
2364,206400
2365,018260
2366,000270
2367,377630
2368,083450
2369,034830
2370,396770
2371,014990
2372,022100
2373,357580
2374,058970
2375,029960
2376,039200
2377,108860
2378,046070
2379,232830
2380,225430
2381,391710
2382,120110
2383,064510
2384,002320
2385,033920
2386,067630
2387,028300
2388,115450
2389,047920
2390,097230
2391,066570
2392,000010
2393,004020
2394,012330
2395,085620
2396,288330
2397,093240
2398,250060
2399,228850
2400,381970
2401,192530
2402,213420
2403,060000
2404,003070
2405,348370
2406,097870
2407,383800
2408,091270
2409,008930
2410,128940
2411,252990
2412,075970
2413,109740
2414,051380
2415,092870
2416,222160
2417,161570
2418,378850
2419,019990
2420,043290
2421,317030
2422,019770
2423,243840
2424,307160
2425,149980
2426,232140
2427,330860
2428,226340
2429,273640
2430,086080
2431,361570
2432,125210
2433,033540
2434,036460
2435,376180
2436,010130
2437,367480
2438,003090
2439,194480
2440,120780
2441,267810
2442,200710
2443,090360
2444,067770
2445,129260
2446,018290
2447,015710
2448,030790
2449,004080
2450,056090
2451,166090
2452,154030
2453,353190
2454,179290
2455,038290
2456,078650
2457,377220
2458,210540
2459,017940
2460,002790
2461,271940
2462,308700
2463,018500
2464,079970
2465,108230
2466,018680
2467,036420
2468,140660
2469,032300
2470,013570
2471,373200
2472,259960
2473,195440
2474,274090
2475,376190
2476,004140
2477,000030
2478,000400
2479,004800
2480,123860
2481,008830
2482,039610
2483,237880
2484,083550
2485,053980
2486,060980
2487,044820
2488,025770
2489,131400
2490,271850
2491,015760
2492,052460
2493,001270
2494,010240
2495,097520
