,정규직수
1393,17
1394,8
1395,13
1396,10
1397,118
1398,18
1399,95
1400,14
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,103
1408,15
1409,44
1410,4
1411,50
1412,9
1413,18
1414,9
1415,9
1416,1
1417,25
1418,22
1419,50
1420,45
1421,27
1422,30
1423,252
1424,36
1425,152
1426,14
1427,205
1428,126
1429,162
1430,100
1431,110
1432,64
1433,32
1434,8
1435,26
1436,3
1437,11
1438,2
1439,1
1440,32
1441,11
1442,130
1443,14
1444,81
1445,11
1446,11
1447,0
1448,28
1449,16
1450,253
1451,67
1452,65
1453,65
1454,14
1455,10
1456,58
1457,15
1458,40
1459,10
1460,10
1461,6
1462,0
1463,1
1464,2
1465,1
1466,18
1467,1
1468,73
1469,6
1470,75
1471,4
1472,223
1473,5
1474,18
1475,1
1476,22
1477,7
1478,12
1479,7
1480,354
1481,62
1482,26
1483,3
1484,10
1485,3
1486,8
1487,1
1488,14
1489,14
1490,19
1491,14
1492,17
1493,14
1494,6
1495,3
1496,654
1497,1132
1498,77
1499,68
1500,10
1501,14
1502,167
1503,230
1504,8
1505,15
1506,11
1507,139
1508,32
1509,112
1510,140
1511,8
1512,2
1513,1583
1514,1484
1515,78
1516,130
1517,1532
1518,148
1519,23
1520,14
1521,750
1522,32
1523,58
1524,61
1525,85
1526,92
1527,1
1528,136
1529,8
1530,42
1531,10
1532,82
1533,14
1534,322
1535,123
1536,61
1537,29
1538,63
1539,37
1540,224
1541,19
1542,54
1543,23
1544,49
1545,7
1546,332
1547,67
1548,326
1549,61
1550,34
1551,26
1552,7
1553,3
1554,4
1555,1
1556,123
1557,6
1558,103
1559,44
1560,28
1561,20
1562,84
1563,23
1564,39
1565,11
1566,141
1567,110
1568,6
1569,5
1570,2
1571,2
1572,4
1573,2
1574,4
1575,5
1576,17
1577,75
1578,44
1579,1345
1580,2337
1581,604
1582,86
1583,0
1584,0
1585,16
1586,5
1587,172
1588,10
1589,86
1590,73
1591,56
1592,187
1593,15
1594,50
1595,11
1596,155
1597,109
1598,373
1599,30
1600,271
1601,121
1602,9
1603,7
1604,104
1605,15
1606,22
1607,4
1608,17
1609,7
1610,18
1611,4
1612,4
1613,1
1614,1
1615,31
1616,9
1617,338
1618,32
1619,17
1620,20
1621,344
1622,318
1623,258
1624,117
1625,203
1626,19
1627,24
1628,5
1629,17
1630,6
1631,136
1632,12
1633,63
1634,7
1635,138
1636,34
1637,118
1638,7
1639,79
1640,11
1641,15
1642,43
1643,6
1644,27
1645,6
1646,341
1647,24
1648,633
1649,8
1650,1176
1651,100
1652,975
1653,54
1654,722
1655,143
1656,24
1657,11
1658,74
1659,27
1660,18
1661,12
1662,5
1663,0
1664,130
1665,40
1666,17
1667,4
1668,148
1669,12
1670,6
1671,5
1672,9505
1673,292
1674,124
1675,175
1676,1001
1677,391
1678,13
1679,13
1680,29
1681,9
1682,90
1683,0
1684,10
1685,0
1686,0
1687,0
1688,904
1689,24
1690,58
1691,37
1692,67
1693,66
1694,514
1695,16
1696,160
1697,7
1698,660
1699,265
1700,51
1701,1
1702,31
1703,2
1704,93
1705,23
1706,95
1707,21
1708,0
1709,0
1710,0
1711,0
1712,279
1713,6
1714,2
1715,177
1716,16
1717,51
1718,8
1719,47
1720,6
1721,9
1722,2
1723,97
1724,53
1725,85
1726,28
1727,45
1728,2
1729,64
1730,5
1731,36
1732,5
1733,47
1734,12
1735,113
1736,7
1737,220
1738,17
1739,1
1740,15
1741,9
1742,345
1743,27
1744,111
1745,4
1746,128
1747,9
1748,9
1749,2
1750,22
1751,5
1752,55
1753,1
1754,90
1755,32
1756,225
1757,19
1758,32
1759,2
1760,7
1761,2
1762,13
1763,1
1764,3
1765,1
1766,156
1767,15
1768,83
1769,63
1770,289
1771,129
1772,51
1773,7
1774,78
1775,0
1776,332
1777,280
1778,797
1779,27
1780,368
1781,59
1782,427
1783,0
1784,440
1785,35
1786,295
1787,79
1788,143
1789,152
1790,43
1791,146
1792,0
1793,7357
1794,6689
1795,1808
1796,76
1797,179
1798,57
1799,886
1800,437
1801,63
1802,14
1803,307
1804,143
1805,11
1806,160
1807,334
1808,164
1809,4
1810,32
1811,5
1812,206
1813,2
1814,243
1815,91
1816,155
1817,74
1818,0
1819,0
1820,1
1821,2
1822,1
1823,1
1824,5
1825,953
1826,410
1827,42
1828,20
1829,4
1830,8
1831,10
1832,19
1833,16
1834,9
1835,10
1836,5
1837,15
1838,3
1839,130
1840,26
1841,141
1842,17
1843,136
1844,17
1845,265
1846,28
1847,693
1848,24
1849,112
1850,12
1851,36
1852,23
1853,58
1854,34
1855,7
1856,13
1857,29
1858,7
1859,44
1860,15
1861,3
1862,7
1863,22
1864,7
1865,5
1866,0
1867,9
1868,1
1869,9
1870,1
1871,12
1872,4
1873,7
1874,2
1875,123
1876,23
1877,26
1878,68
1879,9
1880,8
1881,141
1882,124
1883,17
1884,15
1885,1064
1886,188
1887,1
1888,360
1889,97
1890,938
1891,90
1892,14
1893,7
1894,261
1895,13
1896,77
1897,5
1898,392
1899,10
1900,42
1901,2
1902,29
1903,27
1904,1518
1905,103
1906,67
1907,23
1908,10
1909,1
1910,85
1911,57
1912,158
1913,93
1914,81
1915,2
1916,382
1917,26
1918,53
1919,10
1920,2343
1921,106
1922,547
1923,269
1924,136
1925,16
1926,323
1927,43
1928,360
1929,0
1930,88
1931,22
1932,189
1933,25
1934,194
1935,2
1936,210
1937,12
1938,63
1939,23
1940,0
1941,0
1942,0
1943,0
1944,229
1945,33
1946,188
1947,128
1948,289
1949,44
1950,157
1951,25
1952,168
1953,1
1954,181
1955,15
1956,83
1957,4
1958,57
1959,2
1960,143
1961,66
1962,1111
1963,418
1964,123
1965,6
1966,264
1967,15
1968,4
1969,32
1970,13
1971,491
1972,118
1973,165
1974,79
1975,63
1976,49
1977,224
1978,24
1979,72
1980,4
1981,54
1982,5
1983,196
1984,11
1985,728
1986,13
1987,43
1988,18
1989,252
1990,229
1991,132
1992,291
1993,32
1994,11
1995,71
1996,11
1997,313
1998,56
1999,127
2000,16
2001,6
2002,2
2003,17
2004,4
2005,43
2006,22
2007,10
2008,0
2009,33
2010,3
2011,502
2012,15
2013,75
2014,15
2015,210
2016,228
2017,13
2018,6
2019,28
2020,6
2021,2
2022,0
2023,11
2024,5
2025,34
2026,3
2027,8
2028,0
2029,1130
2030,2033
2031,182
2032,17
2033,207
2034,13
2035,460
2036,3
2037,340
2038,16
2039,132
2040,84
2041,152
2042,25
2043,27
2044,12
2045,651
2046,137
2047,67
2048,21
2049,6
2050,22
2051,0
2052,59
2053,18
2054,170
2055,19
2056,64
2057,8
2058,221
2059,5
2060,71
2061,7
2062,136
2063,6
2064,94
2065,48
2066,424
2067,29
2068,114
2069,7
