,rcept_no,reprt_code,bsns_year,corp_code,stock_code,매출액,영업이익,자산총계
2663,20180330002214,11011,2017,00220622,065710,"44,670,865,662","12,988,134,926","76,717,339,738"
2664,20180330002242,11011,2017,00137915,007820,"72,414,808,384","532,388,796","99,113,904,890"
2665,20180330002250,11011,2017,00755739,106240,"174,995,498,067","-26,908,168,692","201,276,199,024"
2666,20180330002279,11011,2017,00175173,031510,"179,488,801,368","2,906,045,010","253,510,158,737"
2667,20180330002291,11011,2017,00468374,074600,"197,261,196,370","29,617,456,126","256,883,962,261"
2668,20180330002304,11011,2017,00925189,187270,"55,347,068,905","9,883,751,028","89,470,578,990"
2669,20180330002324,11011,2017,00965813,201490,"27,209,665,323","2,916,011,984","149,419,199,215"
2670,20180330002325,11011,2017,00102751,002140,"174,524,412,089","5,946,697,386","183,124,062,876"
2671,20180330002353,11011,2017,00977641,149980,"18,132,156,405","1,748,125,346","50,030,989,454"
2672,20180330002354,11011,2017,00926522,191420,"8,642,115,137","2,086,794,975","48,388,757,466"
2673,20180330002392,11011,2017,00260611,043590,"57,549,187,184","-1,046,795,647","57,727,285,100"
2674,20180330002416,11011,2017,00923792,168330,"9,238,807,537","-5,391,216,295","85,682,819,958"
2675,20180330002438,11011,2017,00936787,161000,"959,818,485,063","75,130,959,075","457,845,132,420"
2676,20180330002485,11011,2017,00410997,069140,"35,622,762,559","482,431,980","39,137,837,850"
2677,20180330002494,11011,2017,00261957,039740,"161,555,481,893","-33,631,998","99,380,103,746"
2678,20180330002497,11011,2017,00258360,036090,"39,171,021,899","4,188,700,847","85,894,313,345"
2679,20180330002503,11011,2017,00492353,170790,"29,431,876,425","-3,034,952,755","44,732,356,661"
2680,20180330002546,11011,2016,00526678,099410,"29,202,616,632","1,796,850,967","42,231,298,756"
2681,20180330002550,11011,2017,00138598,036010,"84,082,995,787","9,146,280,614","92,972,170,082"
2682,20180330002557,11011,2017,00128607,024950,"111,058,055,985","253,901,887","167,136,245,562"
2683,20180330002578,11011,2017,00178851,060380,"186,236,108,201","2,865,397,478","124,977,099,112"
2684,20180330002588,11011,2017,00166272,013520,"1,443,395,992,202","35,781,064,941","1,274,195,718,377"
2685,20180330002602,11011,2017,01032413,195870,"325,060,603,312","33,853,548,442","290,423,756,529"
2686,20180330002629,11011,2017,00128555,004690,"3,295,097,685,509","61,136,423,546","3,704,259,229,453"
2687,20180330002643,11011,2017,00375931,060150,"160,280,182,183","21,914,662,931","298,345,137,471"
2688,20180330002646,11011,2017,00814786,131100,"24,000,916,428","-4,434,273,391","30,346,571,346"
2689,20180330002657,11011,2017,00216027,053030,"78,026,379,736","-7,547,183,576","167,774,068,299"
2690,20180330002660,11011,2017,00138729,002310,"728,592,248,661","5,360,013,677","766,895,048,057"
2691,20180330002683,11011,2017,00268118,036690,"140,191,670,440","10,609,234,678","104,882,959,789"
2692,20180330002684,11011,2017,00360142,122900,"3,080,451,880,415","33,976,718,869","1,086,927,962,367"
2693,20180330002702,11011,2017,00264228,038620,"36,272,380,635","930,549,211","45,944,151,684"
2694,20180330002704,11011,2017,00384717,065170,"83,708,354,915","2,768,164,675","68,244,813,862"
2695,20180330002707,11011,2017,00163318,006920,"117,339,016,108","2,687,904,419","83,268,393,879"
2696,20180330002729,11011,2017,00599595,126600,"134,792,885,169","8,350,469,258","142,292,864,574"
2697,20180330002750,11011,2017,00480367,100090,"123,068,752,891","-20,971,131,449","530,463,582,518"
2698,20180330002758,11011,2017,00114552,002150,"398,950,053,293","16,504,788,773","328,594,780,857"
2699,20180330002762,11011,2017,00634728,092130,"34,056,744,078","13,436,333,457","49,406,966,361"
2700,20180330002772,11011,2017,00135050,004720,"79,894,496,569","6,010,943,493","68,480,423,387"
2701,20180330002775,11011,2017,00438036,084730,"197,920,593,676","7,052,214,790","205,687,950,939"
2702,20180330002821,11011,2017,00397252,067000,,"-2,745,082,550","50,633,745,454"
2703,20180330002830,11011,2017,00298270,053800,"150,259,297,165","16,742,127,458","223,620,399,175"
2704,20180330002909,11011,2017,00201733,032540,"83,637,581,629","2,263,115,166","98,850,828,974"
2705,20180330002916,11011,2017,00295857,046070,"267,845,911,684","5,740,260,124","417,416,922,864"
2706,20180330002930,11011,2017,00199252,028300,"23,006,912,167","-26,114,810,395","188,193,254,891"
2707,20180330002938,11011,2017,00462121,073490,"60,670,950,989","615,133,731","85,758,647,578"
2708,20180330002940,11011,2017,00180795,023810,"238,801,537,420","-2,441,192,210","278,413,185,296"
2709,20180330002946,11011,2017,00816544,214420,"205,732,327,503","-1,912,946,036","199,661,831,329"
2710,20180330002974,11011,2017,00128032,000520,"92,037,814,986","1,307,014,863","135,477,088,917"
2711,20180330002982,11011,2017,00121969,023960,"251,692,538,291","4,719,961,468","374,160,400,223"
2712,20180330003000,11011,2017,00349097,053210,,"75,372,599,401","792,893,053,830"
2713,20180330003021,11011,2017,00112457,003310,"85,513,866,435","3,579,864,014","84,265,986,876"
